iter	Passed	Remaining
480	1334	330
481	1337	327
482	1339	324
483	1342	321
484	1345	318
485	1348	316
486	1350	313
487	1353	310
488	1356	307
489	1358	304
490	1361	302
491	1364	299
492	1367	296
493	1369	293
494	1372	291
495	1375	288
496	1377	285
497	1380	282
498	1382	279
499	1385	277
500	1389	274
501	1393	271
502	1396	269
503	1399	266
504	1402	263
505	1404	260
506	1407	258
507	1410	255
508	1412	252
509	1415	249
510	1417	246
511	1420	244
512	1422	241
513	1425	238
514	1427	235
515	1430	232
516	1432	230
517	1435	227
518	1437	224
519	1440	221
520	1443	218
521	1445	216
522	1448	213
523	1450	210
524	1453	207
525	1456	204
526	1459	202
527	1461	199
528	1464	196
529	1466	193
530	1469	190
531	1471	188
532	1474	185
533	1477	182
534	1480	179
535	1482	177
536	1485	174
537	1487	171
538	1490	168
539	1493	165
540	1495	163
541	1498	160
542	1500	157
543	1503	154
544	1505	151
545	1508	149
546	1511	146
547	1513	143
548	1516	140
549	1518	138
550	1521	135
551	1523	132
552	1526	129
553	1528	126
554	1531	124
555	1534	121
556	1536	118
557	1538	115
558	1541	113
559	1544	110
560	1546	107
561	1548	104
562	1550	101
563	1553	99
564	1555	96
565	1558	93
566	1560	90
567	1563	88
568	1565	85
569	1568	82
570	1570	79
571	1573	77
572	1576	74
573	1579	71
574	1581	68
575	1584	66
576	1588	63
577	1591	60
578	1593	57
579	1596	55
580	1598	52
581	1601	49
582	1604	46
583	1606	44
584	1609	41
585	1611	38
586	1614	35
587	1617	33
588	1619	30
589	1622	27
590	1625	24
591	1627	21
592	1631	19
593	1633	16
594	1637	13
595	1639	11
596	1642	8
597	1644	5
598	1647	2
599	1650	0
