iter	RMSE
306	0.3296771956
307	0.3296533068
308	0.3296230985
309	0.3296021817
310	0.3295934064
311	0.3295763984
312	0.3295567605
313	0.3295204851
314	0.3294584052
315	0.3294313923
316	0.3294028344
317	0.3293363319
318	0.3293109176
319	0.3292847218
320	0.3292455172
321	0.3292043971
322	0.3291224094
323	0.3290712371
324	0.3290164571
325	0.3290083688
326	0.3289954092
327	0.328914819
328	0.3288717804
329	0.3288319862
330	0.3287126959
331	0.3286919683
332	0.3286545212
333	0.3286346769
334	0.3286155142
335	0.3285408336
336	0.3285355576
337	0.3284891818
338	0.3284141823
339	0.3284124401
340	0.3283948928
341	0.328378838
342	0.3283533492
343	0.3283340308
344	0.3282602209
345	0.3282414351
346	0.3282248845
347	0.3281548434
348	0.3281477819
349	0.3280775608
350	0.3280282348
351	0.3280210111
352	0.3280053981
353	0.3279442704
354	0.3278976142
355	0.3278365329
356	0.3278297436
357	0.3277945372
358	0.3277454081
359	0.3277106141
360	0.3276825493
361	0.3276100412
362	0.3275965538
363	0.3275158892
364	0.3274602337
365	0.327443483
366	0.3273731117
367	0.3273647102
368	0.3272876906
369	0.3272154356
370	0.327195209
371	0.3271581974
372	0.3271377019
373	0.32712808
374	0.3270934916
375	0.3270874182
376	0.326987512
377	0.3269261216
378	0.3268602197
379	0.3267623531
380	0.3267444432
381	0.3267091705
382	0.3266587859
383	0.3265970569
384	0.3265238493
385	0.32650789
386	0.3264327794
387	0.3263853998
388	0.3263725766
389	0.3263137936
390	0.326283948
391	0.3262337977
392	0.3262172326
393	0.3261848734
394	0.3261767136
395	0.3261522351
396	0.3261325839
397	0.3261118672
398	0.3260239809
399	0.3259791455
400	0.3259513285
401	0.3259318486
402	0.3258806292
403	0.3258522455
404	0.3258003418
405	0.3257146795
406	0.325708535
407	0.3256486928
408	0.3256081532
409	0.3255377171
410	0.3254888159
411	0.3254452817
412	0.3254327789
413	0.3253974841
414	0.3253157505
415	0.3253120449
416	0.3252718076
417	0.3252193599
418	0.3251629588
419	0.3251085022
420	0.325076219
421	0.3250637049
422	0.325027443
423	0.3250220057
424	0.3249413871
425	0.3248910153
426	0.3248432534
427	0.3247948193
428	0.3247350731
429	0.3246864345
430	0.3246726885
431	0.3246425796
432	0.3246018352
433	0.3245439349
434	0.324485767
435	0.3244713547
436	0.324441555
437	0.3244028247
438	0.3243390123
439	0.3242793148
440	0.3242380411
441	0.3241851229
442	0.3241341543
443	0.3241208979
444	0.3240795326
445	0.3240185499
446	0.3239981513
447	0.3239521943
448	0.3239233393
449	0.3239180803
450	0.3238720402
451	0.323807683
452	0.3237410064
453	0.3236906227
454	0.323677939
455	0.3236007133
456	0.3235696671
457	0.3235204313
458	0.3234800563
459	0.3234317872
460	0.3233943432
461	0.3233610793
462	0.3233445879
463	0.3233192092
464	0.3233030783
465	0.3232782296
466	0.3232728748
467	0.3232048862
468	0.3231740202
469	0.3231490303
470	0.3231129727
471	0.3230817016
472	0.3230651339
473	0.3230505258
474	0.3230365785
475	0.3230312788
476	0.3229499595
477	0.3228845088
478	0.3228795329
479	0.3228066146
480	0.3227621064
481	0.3227565089
482	0.322719234
483	0.3226718735
484	0.3226375456
485	0.3225822879
486	0.3225508693
487	0.3225248557
488	0.3225199857
489	0.3224498042
490	0.3224097865
491	0.3223395799
492	0.3223286468
493	0.3223086106
494	0.3222913269
495	0.322235051
496	0.3222010027
497	0.3221831794
498	0.3221453906
499	0.3220925264
500	0.3220824423
501	0.3220218856
502	0.3219985077
503	0.3219418941
504	0.321888935
505	0.321861042
506	0.3218131235
507	0.3217480925
508	0.321743701
509	0.3217056889
510	0.3216697774
511	0.3216575821
512	0.321626127
513	0.3216057732
514	0.3215621326
515	0.3215494312
516	0.3215270992
517	0.3215072341
518	0.3214492149
519	0.3213981582
520	0.321346585
521	0.321334172
522	0.3213132349
523	0.3212586172
524	0.321216187
525	0.3211620518
526	0.3210897969
527	0.3210447673
528	0.3209898121
529	0.3209524128
530	0.32091688
531	0.3208656895
532	0.3208501884
533	0.320796839
534	0.3207785886
535	0.3207762808
536	0.3207646981
537	0.320757137
538	0.3207025116
539	0.3206933687
540	0.3206731401
541	0.3206617251
542	0.3206246987
543	0.3205898343
544	0.320578633
545	0.320547515
546	0.320522559
547	0.320502434
548	0.3204520788
549	0.320442472
550	0.320404179
551	0.3203619571
552	0.320350106
553	0.3203403093
554	0.3203051194
555	0.3202725714
556	0.3202681161
557	0.3202398845
558	0.3201738022
559	0.32015464
560	0.3201489069
561	0.3201482337
562	0.3201434796
563	0.3201392083
564	0.320095427
565	0.3200351053
566	0.3200091339
567	0.3199793142
568	0.3199316902
569	0.3199275124
570	0.3199221635
571	0.3198809515
572	0.3198485921
573	0.3197846154
574	0.3197481454
575	0.3197340291
576	0.3197084104
577	0.319643225
578	0.3196325154
579	0.3195832763
580	0.319567233
581	0.3195634617
582	0.3195278617
583	0.3195024037
584	0.3194519872
585	0.319439361
586	0.3193941055
587	0.319344111
588	0.3193109025
589	0.3192958785
590	0.3192824153
591	0.3192709465
592	0.3192288741
593	0.3191629528
594	0.3191315486
595	0.3190872987
596	0.3190651886
597	0.3190550497
598	0.318980216
599	0.3189194427
